date,flow_cms,infill_flag
1955-05-29,14.701322212020683,infilled_5
1955-05-30,12.351864351651034,infilled_5
1955-05-31,8.009233185749958,infilled_5
1955-06-01,6.640508907368769,infilled_5
1955-06-02,6.365096742959069,infilled_5
1955-06-03,6.595565519229622,infilled_5
1955-06-04,7.138866381247381,infilled_5
1955-06-05,7.664583703951874,infilled_5
1955-06-06,7.111103242509257,infilled_5
1955-06-07,7.379263168954494,infilled_5
1955-06-08,9.021065991329715,infilled_5
1955-06-09,11.379868325983656,infilled_5
1955-06-10,12.369002416671382,infilled_5
1955-06-11,10.549612098388222,infilled_5
1955-06-12,8.151910547634701,infilled_5
1955-06-13,5.147095342474406,infilled_5
1955-06-14,3.510464427305485,infilled_5
1955-06-15,2.8654408930290667,infilled_5
1955-06-16,2.7748436621256487,infilled_5
1955-06-17,2.702022336745443,infilled_5
1955-06-18,4.042944392679753,infilled_5
1955-06-19,4.0333842178441355,infilled_5
1955-06-20,5.141085854788812,infilled_5
1955-06-21,7.070829983998861,infilled_5
1955-06-22,6.840133147912522,infilled_5
1955-06-23,8.11151794487634,infilled_5
1955-06-24,4.366104813095149,infilled_5
1955-06-25,3.4636408508855605,infilled_5
1955-06-26,3.6784281099330753,infilled_5
1955-06-27,4.516476699374531,infilled_5
1955-06-28,6.877244607586385,infilled_5
1955-06-29,4.746524319014195,infilled_5
1955-06-30,9.418078459407125,infilled_5
1955-07-01,5.3313966419791115,infilled_5
1955-07-02,3.804000132400917,infilled_5
1955-07-03,3.7972477600266057,infilled_5
1955-07-04,3.8767499044880194,infilled_5
1955-07-05,3.4235573413195755,infilled_5
1955-07-06,2.9726064270899144,infilled_5
1955-07-07,3.1555632222838237,infilled_5
1955-07-08,3.493540869745138,infilled_5
1955-07-09,3.9674756498654378,infilled_5
1955-07-10,4.043789123125717,infilled_5
1955-07-11,3.7870441147884355,infilled_5
1955-07-12,4.395789047110959,infilled_5
1955-07-13,5.137690800789938,infilled_5
1955-07-14,5.06300009681783,infilled_5
1955-07-15,4.714269662176441,infilled_5
1955-07-16,4.34531975853834,infilled_5
1955-07-17,3.6191827811591475,infilled_5
1955-07-18,3.392773168606184,infilled_5
1955-07-19,2.4908224965538235,infilled_5
1955-07-20,2.3214573742378577,infilled_5
1955-07-21,2.5203663222517227,infilled_5
1955-07-22,2.4204708181620616,infilled_5
1955-07-23,2.4315600850965104,infilled_5
1955-07-24,1.8289104371676281,infilled_5
1955-07-25,1.4105439627823875,infilled_5
1955-07-26,4.130825529835481,infilled_5
1955-07-27,3.330094746825552,infilled_5
1955-07-28,2.5108350721454595,infilled_5
1955-07-29,6.95505993121397,infilled_5
1955-07-30,4.186968896097978,infilled_5
1955-07-31,9.02805672143478,infilled_5
1955-08-01,9.699473718190124,infilled_5
1955-08-02,4.148817715332424,infilled_5
1955-08-03,2.28134437152146,infilled_5
1955-08-04,1.884817487138252,infilled_5
1955-08-05,1.709180834447096,infilled_5
1955-08-06,1.6021980818652868,infilled_5
1955-08-07,1.4080337354127066,infilled_5
1955-08-08,1.1862544895989084,infilled_5
1955-08-09,1.0653627645264987,infilled_5
1955-08-10,1.0191493179009408,infilled_5
1955-08-11,0.9058723323801066,infilled_5
1955-08-12,0.84737140072595,infilled_5
1955-08-13,0.7751855483827403,infilled_5
1955-08-14,0.7403138896702494,infilled_5
1955-08-15,0.7240760851449939,infilled_5
1955-08-16,0.7215041465658161,infilled_5
1955-08-17,0.6983356066190561,infilled_5
1955-08-18,0.6870207350113161,infilled_5
1955-08-19,0.6923531014111146,infilled_5
1955-08-20,0.774627813084763,infilled_5
1955-08-21,0.6769019345386824,infilled_5
1955-08-22,0.658692597971918,infilled_5
1955-08-23,0.6550753081720861,infilled_5
1955-08-24,0.6457178854171942,infilled_5
1955-08-25,0.6344520394450869,infilled_5
1955-08-26,0.6203850881039017,infilled_5
1955-08-27,0.614357118545275,infilled_5
1955-08-28,0.6091017532652854,infilled_5
1955-08-29,0.6057661619466765,infilled_5
1955-08-30,0.6016764379779193,infilled_5
1955-08-31,0.6012738668844864,infilled_5
1955-09-01,0.5852172565733964,infilled_5
1955-09-02,0.5942957345712087,infilled_5
1955-09-03,0.5801709790768034,infilled_5
